epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.42252,2.79134,2.24764,1.10859,0.54057,0.4419,0.49031,0.24596,2.17101,3.09335,0.893,0,0,0
2,20.1915,2.85734,2.1271,1.03683,0.44013,0.55483,0.49661,0.24875,2.16793,3.04753,0.89272,4.9505e-06,4.9505e-06,4.9505e-06
3,32.8173,2.5109,2.1526,1.03962,0.45298,0.57529,0.51548,0.25684,2.14152,3.06496,0.88809,9.802e-06,9.802e-06,9.802e-06
4,44.9491,2.64326,2.11729,1.05338,0.56895,0.49755,0.5373,0.26752,2.12747,3.08356,0.88448,1.45545e-05,1.45545e-05,1.45545e-05
5,57.2003,2.70394,2.03477,1.03835,0.56874,0.53098,0.55491,0.27783,2.11172,3.00307,0.88037,1.9208e-05,1.9208e-05,1.9208e-05
6,66.894,3.17748,2.38438,1.16654,0.58177,0.54992,0.57108,0.28701,2.09946,2.84858,0.87753,2.37625e-05,2.37625e-05,2.37625e-05
7,75.4095,2.87187,2.14202,1.03433,0.55572,0.58429,0.58384,0.28954,2.09362,2.72181,0.87645,2.8218e-05,2.8218e-05,2.8218e-05
8,83.8678,2.62482,2.07431,0.99956,0.57655,0.59656,0.59447,0.29459,2.0787,2.50457,0.87469,3.25745e-05,3.25745e-05,3.25745e-05
9,92.2704,2.64672,1.92784,1.00826,0.58919,0.59857,0.60209,0.29758,2.0728,2.35514,0.87474,3.6832e-05,3.6832e-05,3.6832e-05
10,101.213,3.0914,2.07727,1.01457,0.59877,0.61671,0.61274,0.30023,2.05812,2.23967,0.87357,4.09905e-05,4.09905e-05,4.09905e-05
11,109.232,2.92543,1.96099,0.9993,0.59529,0.61457,0.60962,0.29986,2.04762,2.15909,0.87388,4.505e-05,4.505e-05,4.505e-05
12,117.726,2.58463,1.79383,1.02447,0.60114,0.60186,0.61236,0.3002,2.03994,2.06019,0.87416,4.90105e-05,4.90105e-05,4.90105e-05
13,126.278,3.16356,1.96677,1.04471,0.59263,0.61129,0.61439,0.2978,2.03649,1.97892,0.87319,5.2872e-05,5.2872e-05,5.2872e-05
