epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3053,1.67715,2.80321,1.50546,0.00604,1,0.072,0.02395,1.84441,2.979,1.59938,0,0,0
2,23.0425,1.47752,2.57839,1.33539,0.01376,0.86207,0.11243,0.04722,1.69981,2.8112,1.4916,1.9802e-05,1.9802e-05,1.9802e-05
3,34.1419,1.18974,1.81416,1.15502,0.27865,0.21336,0.2634,0.14773,1.41901,2.44877,1.31928,3.9208e-05,3.9208e-05,3.9208e-05
4,44.7612,1.21305,1.36414,1.16828,0.68287,0.74277,0.79511,0.56667,1.17838,1.74648,1.12363,5.8218e-05,5.8218e-05,5.8218e-05
5,55.1874,0.99748,1.0982,1.05785,0.99242,0.89655,0.96381,0.73852,0.93716,1.22809,0.9988,7.6832e-05,7.6832e-05,7.6832e-05
6,65.6103,0.86737,0.97284,1.04048,0.99681,0.96552,0.994,0.80579,0.78898,1.46964,0.93841,9.505e-05,9.505e-05,9.505e-05
7,76.6438,0.76743,0.85781,1.00821,1,0.99801,0.995,0.84309,0.6789,2.22664,0.89553,0.000112872,0.000112872,0.000112872
8,87.3442,0.79892,0.88861,1.0045,0.99861,1,0.995,0.85124,0.60426,1.65664,0.87045,0.000130298,0.000130298,0.000130298
9,98.0691,0.70876,0.76953,0.98855,0.99824,1,0.995,0.8723,0.57119,1.20259,0.85862,0.000147328,0.000147328,0.000147328
10,109.059,0.64735,0.69563,0.97206,0.99819,1,0.995,0.87371,0.56562,1.15623,0.85292,0.000163962,0.000163962,0.000163962
11,120.184,0.62581,0.72672,0.93702,0.99805,1,0.995,0.86299,0.56499,1.1051,0.85525,0.0001802,0.0001802,0.0001802
12,131.529,0.7764,0.7019,1.04213,0.99811,1,0.995,0.88139,0.53743,1.03291,0.85313,0.000196042,0.000196042,0.000196042
13,142.793,0.63904,0.61391,0.92525,0.99818,1,0.995,0.89327,0.52038,0.71568,0.85377,0.000211488,0.000211488,0.000211488
14,154.629,0.71056,0.78611,1.01183,0.99813,1,0.995,0.88564,0.53374,0.71012,0.8618,0.000226538,0.000226538,0.000226538
15,166.163,0.68376,0.70412,0.95084,0.99781,1,0.995,0.8718,0.53975,1.0281,0.8595,0.000241192,0.000241192,0.000241192
