epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,177.597,0.72126,0.93215,0.95694,0.99815,1,0.995,0.88057,0.54823,0.99392,0.85794,0.00025545,0.00025545,0.00025545
17,189.367,0.6343,0.61245,0.91053,0.99815,1,0.995,0.8722,0.55779,0.89171,0.86732,0.000269312,0.000269312,0.000269312
18,201.497,0.52854,0.51279,0.84249,0.99815,1,0.995,0.8722,0.55779,0.89171,0.86732,0.000282778,0.000282778,0.000282778
19,213.08,0.56706,0.5695,0.8683,0.99811,1,0.995,0.86468,0.57397,0.92147,0.86796,0.000295848,0.000295848,0.000295848
20,224.165,0.67959,0.56826,0.9169,0.99811,1,0.995,0.86468,0.57397,0.92147,0.86796,0.000308522,0.000308522,0.000308522
21,235.382,0.73147,0.58355,1.01226,0.99812,1,0.995,0.8926,0.52427,1.00704,0.84602,0.0003208,0.0003208,0.0003208
22,246.349,0.60914,0.61355,0.92724,0.99812,1,0.995,0.8926,0.52427,1.00704,0.84602,0.000332682,0.000332682,0.000332682
23,257.155,0.68587,0.61043,0.91023,0.99804,1,0.995,0.87694,0.56699,1.11216,0.84369,0.000344168,0.000344168,0.000344168
24,268.664,0.64622,0.6397,0.94176,0.99804,1,0.995,0.87694,0.56699,1.11216,0.84369,0.000355258,0.000355258,0.000355258
25,280.167,0.70699,0.70294,0.97602,0.99815,1,0.995,0.89867,0.52181,1.07424,0.82828,0.000365952,0.000365952,0.000365952
26,291.703,0.63707,0.61068,0.94117,0.99815,1,0.995,0.89867,0.52181,1.07424,0.82828,0.00037625,0.00037625,0.00037625
27,303.083,0.59412,0.56298,0.9207,0.99809,1,0.995,0.85399,0.53595,1.15832,0.8391,0.000386152,0.000386152,0.000386152
28,315.032,0.55152,0.55425,0.90387,0.99809,1,0.995,0.85399,0.53595,1.15832,0.8391,0.000395658,0.000395658,0.000395658
29,327.916,0.63214,0.57449,0.92262,0.99814,1,0.995,0.89193,0.52293,0.93713,0.85516,0.000404768,0.000404768,0.000404768
30,339.968,0.58132,0.54282,0.87261,0.99814,1,0.995,0.89193,0.52293,0.93713,0.85516,0.000413482,0.000413482,0.000413482
31,352.5,0.66941,0.58326,0.93257,0.99809,1,0.995,0.89483,0.50094,0.63669,0.85602,0.0004218,0.0004218,0.0004218
32,365.124,0.5513,0.54273,0.91063,0.99809,1,0.995,0.89483,0.50094,0.63669,0.85602,0.000429722,0.000429722,0.000429722
33,380.922,0.53322,0.51012,0.88988,0.9979,1,0.995,0.88875,0.52455,0.68945,0.85441,0.000437248,0.000437248,0.000437248
34,398.266,0.60436,0.58081,0.92889,0.9979,1,0.995,0.88875,0.52455,0.68945,0.85441,0.000444378,0.000444378,0.000444378
35,418.455,0.62684,0.52462,0.9264,0.99769,1,0.995,0.88668,0.54155,0.804,0.86085,0.000451112,0.000451112,0.000451112
36,440.357,0.59726,0.54431,0.87647,0.99769,1,0.995,0.88668,0.54155,0.804,0.86085,0.00045745,0.00045745,0.00045745
37,459.423,0.59872,0.49879,0.87705,0.99787,1,0.995,0.88971,0.50823,0.80263,0.85796,0.000463392,0.000463392,0.000463392
38,472.621,0.5887,0.48389,0.93539,0.99787,1,0.995,0.88971,0.50823,0.80263,0.85796,0.000468938,0.000468938,0.000468938
39,484.394,0.5564,0.46247,0.92786,0.99811,1,0.995,0.89365,0.50414,0.63307,0.85927,0.000474088,0.000474088,0.000474088
40,497.189,0.57207,0.47293,0.91175,0.99811,1,0.995,0.89365,0.50414,0.63307,0.85927,0.000478842,0.000478842,0.000478842
41,511.787,0.67428,0.51478,0.93518,0.9981,1,0.995,0.89674,0.50006,0.47914,0.85264,0.0004832,0.0004832,0.0004832
42,525.859,0.50632,0.48576,0.91683,0.9981,1,0.995,0.89674,0.50006,0.47914,0.85264,0.000487162,0.000487162,0.000487162
