epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3612,1.67715,2.80321,1.50546,0.00604,1,0.072,0.02395,1.84441,2.979,1.59938,0,0,0
2,20.4939,1.47752,2.57839,1.33539,0.01376,0.86207,0.11243,0.04722,1.69981,2.8112,1.4916,1.9802e-05,1.9802e-05,1.9802e-05
3,31.2465,1.18974,1.81416,1.15502,0.27865,0.21336,0.2634,0.14773,1.41901,2.44877,1.31928,3.9208e-05,3.9208e-05,3.9208e-05
4,45.0788,1.21305,1.36414,1.16828,0.68287,0.74277,0.79511,0.56667,1.17838,1.74648,1.12363,5.8218e-05,5.8218e-05,5.8218e-05
5,61.6692,0.99748,1.0982,1.05785,0.99242,0.89655,0.96381,0.73852,0.93716,1.22809,0.9988,7.6832e-05,7.6832e-05,7.6832e-05
6,78.4305,0.86737,0.97284,1.04048,0.99681,0.96552,0.994,0.80579,0.78898,1.46964,0.93841,9.505e-05,9.505e-05,9.505e-05
7,95.1965,0.76743,0.85781,1.00821,1,0.99801,0.995,0.84309,0.6789,2.22664,0.89553,0.000112872,0.000112872,0.000112872
8,112.496,0.79892,0.88861,1.0045,0.99861,1,0.995,0.85124,0.60426,1.65664,0.87045,0.000130298,0.000130298,0.000130298
9,129.715,0.70876,0.76953,0.98855,0.99824,1,0.995,0.8723,0.57119,1.20259,0.85862,0.000147328,0.000147328,0.000147328
10,142.979,0.64735,0.69563,0.97206,0.99819,1,0.995,0.87371,0.56562,1.15623,0.85292,0.000163962,0.000163962,0.000163962
11,159.814,0.62581,0.72672,0.93702,0.99805,1,0.995,0.86299,0.56499,1.1051,0.85525,0.0001802,0.0001802,0.0001802
12,171.949,0.7764,0.7019,1.04213,0.99811,1,0.995,0.88139,0.53743,1.03291,0.85313,0.000196042,0.000196042,0.000196042
13,186.484,0.63904,0.61391,0.92525,0.99818,1,0.995,0.89327,0.52038,0.71568,0.85377,0.000211488,0.000211488,0.000211488
14,205.051,0.71056,0.78611,1.01183,0.99813,1,0.995,0.88564,0.53374,0.71012,0.8618,0.000226538,0.000226538,0.000226538
15,225.721,0.68376,0.70412,0.95084,0.99781,1,0.995,0.8718,0.53975,1.0281,0.8595,0.000241192,0.000241192,0.000241192
16,246.87,0.72126,0.93215,0.95694,0.99815,1,0.995,0.88057,0.54823,0.99392,0.85794,0.00025545,0.00025545,0.00025545
17,267.983,0.6343,0.61245,0.91053,0.99815,1,0.995,0.8722,0.55779,0.89171,0.86732,0.000269312,0.000269312,0.000269312
18,285.943,0.52854,0.51279,0.84249,0.99815,1,0.995,0.8722,0.55779,0.89171,0.86732,0.000282778,0.000282778,0.000282778
19,299.612,0.56706,0.5695,0.8683,0.99811,1,0.995,0.86468,0.57397,0.92147,0.86796,0.000295848,0.000295848,0.000295848
20,313.972,0.67959,0.56826,0.9169,0.99811,1,0.995,0.86468,0.57397,0.92147,0.86796,0.000308522,0.000308522,0.000308522
21,327.759,0.73147,0.58355,1.01226,0.99812,1,0.995,0.8926,0.52427,1.00704,0.84602,0.0003208,0.0003208,0.0003208
22,341.171,0.60914,0.61355,0.92724,0.99812,1,0.995,0.8926,0.52427,1.00704,0.84602,0.000332682,0.000332682,0.000332682
23,355.57,0.68587,0.61043,0.91023,0.99804,1,0.995,0.87694,0.56699,1.11216,0.84369,0.000344168,0.000344168,0.000344168
